Id,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
484,44,male,2,own,quite rich,,1163,12,car,good
329,28,male,2,own,little,moderate,1068,6,radio/TV,good
665,27,male,3,own,little,,6314,24,vacation/others,good
452,34,male,2,own,little,,2759,12,furniture/equipment,good
101,24,male,2,rent,little,moderate,2323,36,radio/TV,good
970,22,male,2,own,moderate,moderate,1514,15,repairs,good
690,25,male,2,own,little,little,975,15,furniture/equipment,good
344,37,male,1,own,little,rich,3949,10,car,good
553,27,male,2,own,moderate,moderate,1995,12,car,good
421,30,male,2,own,,moderate,2028,12,car,good
148,28,male,2,own,little,little,5371,36,furniture/equipment,good
508,28,male,2,own,little,,1413,24,radio/TV,good
425,21,male,2,rent,little,moderate,2779,18,car,good
773,52,male,2,own,moderate,,2223,24,radio/TV,good
418,31,female,3,own,quite rich,,2782,21,car,good
440,39,male,3,own,little,,1884,12,car,good
432,36,male,3,free,little,little,1872,6,furniture/equipment,good
41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,good
692,29,male,2,own,moderate,moderate,2896,24,radio/TV,good
976,64,female,2,own,little,moderate,753,6,radio/TV,good
537,37,female,2,own,little,moderate,3612,18,furniture/equipment,good
396,55,female,3,free,little,little,2578,12,furniture/equipment,good
565,23,female,2,rent,moderate,moderate,1553,24,radio/TV,good
488,35,male,1,rent,moderate,,1418,10,car,good
817,24,female,2,rent,little,,1554,6,radio/TV,good
964,22,male,1,own,little,moderate,454,6,repairs,good
895,31,male,3,own,,,8947,36,car,good
385,25,female,2,own,little,,2238,18,radio/TV,good
730,33,male,2,own,little,moderate,6403,24,radio/TV,good
667,27,female,2,own,little,,3609,48,business,good
774,66,male,0,free,quite rich,rich,1480,12,car,good
171,26,female,2,own,little,,763,12,furniture/equipment,good
73,41,female,1,own,little,moderate,5954,42,business,good
904,36,male,3,own,little,,1278,24,radio/TV,good
881,48,male,2,free,,,9277,24,car,good
908,46,female,1,own,little,,3594,15,car,good
509,45,male,3,own,moderate,,8588,39,car,good
