Id,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Purpose,Risk
0,67.0,male,2,own,little,little,1169,radio/TV,good
1,22.0,female,2,own,little,moderate,5951,radio/TV,bad
2,49.0,male,1,own,little,little,2096,education,good
3,45.0,male,2,free,little,little,7882,furniture/equipment,good
4,53.0,male,2,free,little,little,4870,car,bad
5,35.0,male,1,free,little,little,9055,education,good
6,53.0,male,2,own,quite rich,little,2835,furniture/equipment,good
7,35.0,male,3,rent,little,moderate,6948,car,good
8,61.0,male,1,own,rich,little,3059,radio/TV,good
9,28.0,male,3,own,little,moderate,5234,car,bad
10,25.0,female,2,rent,little,moderate,1295,car,bad
11,24.0,female,2,rent,little,little,4308,business,bad
12,22.0,female,2,own,little,moderate,1567,radio/TV,good
13,60.0,male,1,own,little,little,1199,car,bad
14,28.0,female,2,rent,little,little,1403,car,good
15,32.0,female,1,own,moderate,little,1282,radio/TV,bad
16,53.0,male,2,own,little,little,2424,radio/TV,good
17,25.0,male,2,own,little,little,8072,business,good
18,44.0,female,3,free,little,moderate,12579,car,bad
19,31.0,male,2,own,quite rich,little,3430,radio/TV,good
20,48.0,male,2,own,little,little,2134,car,good
21,44.0,male,2,rent,quite rich,little,2647,radio/TV,good
22,48.0,male,1,rent,little,little,2241,car,good
23,44.0,male,2,own,moderate,moderate,1804,car,good
24,26.0,male,2,own,little,little,2069,furniture/equipment,good
25,36.0,male,1,own,little,little,1374,furniture/equipment,good
26,39.0,male,1,own,little,little,426,radio/TV,good
27,42.0,female,2,rent,rich,rich,409,radio/TV,good
28,34.0,male,2,own,little,moderate,2415,radio/TV,good
29,63.0,male,2,own,little,little,6836,business,bad
30,36.0,male,2,own,rich,moderate,1913,business,good
31,27.0,male,2,own,little,little,4020,furniture/equipment,good
32,30.0,male,2,own,moderate,moderate,5866,car,good
33,57.0,male,1,rent,little,little,1264,business,good
34,33.0,female,3,own,little,rich,1474,furniture/equipment,good
35,25.0,male,1,own,little,moderate,4746,radio/TV,bad
36,31.0,male,2,free,little,little,6110,education,good
37,37.0,male,2,own,little,rich,2100,radio/TV,bad
38,37.0,male,2,own,little,rich,1225,domestic appliances,good
39,35.56068204613842,male,2,own,little,moderate,458,radio/TV,good
