Id,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Purpose,Risk
0,67,male,2,own,,little,1169,radio/TV,good
1,22,female,2,own,little,moderate,5951,radio/TV,bad
2,49,male,1,own,little,,2096,education,good
3,45,male,2,free,little,little,7882,furniture/equipment,good
4,53,male,2,free,little,little,4870,car,bad
5,35,male,1,free,,,9055,education,good
6,53,male,2,own,quite rich,,2835,furniture/equipment,good
7,35,male,3,rent,little,moderate,6948,car,good
8,61,male,1,own,rich,,3059,radio/TV,good
9,28,male,3,own,little,moderate,5234,car,bad
10,25,female,2,rent,little,moderate,1295,car,bad
11,24,female,2,rent,little,little,4308,business,bad
12,22,female,2,own,little,moderate,1567,radio/TV,good
13,60,male,1,own,little,little,1199,car,bad
14,28,female,2,rent,little,little,1403,car,good
15,32,female,1,own,moderate,little,1282,radio/TV,bad
16,53,male,2,own,,,2424,radio/TV,good
17,25,male,2,own,,little,8072,business,good
18,44,female,3,free,little,moderate,12579,car,bad
19,31,male,2,own,quite rich,,3430,radio/TV,good
20,48,male,2,own,little,,2134,car,good
21,44,male,2,rent,quite rich,little,2647,radio/TV,good
22,48,male,1,rent,little,little,2241,car,good
23,44,male,2,own,moderate,moderate,1804,car,good
24,26,male,2,own,,,2069,furniture/equipment,good
25,36,male,1,own,little,little,1374,furniture/equipment,good
26,39,male,1,own,little,,426,radio/TV,good
27,42,female,2,rent,rich,rich,409,radio/TV,good
28,34,male,2,own,little,moderate,2415,radio/TV,good
29,63,male,2,own,little,little,6836,business,bad
30,36,male,2,own,rich,moderate,1913,business,good
31,27,male,2,own,little,little,4020,furniture/equipment,good
32,30,male,2,own,moderate,moderate,5866,car,good
33,57,male,1,rent,,,1264,business,good
34,33,female,3,own,little,rich,1474,furniture/equipment,good
35,25,male,1,own,little,moderate,4746,radio/TV,bad
36,31,male,2,free,little,,6110,education,good
37,37,male,2,own,little,rich,2100,radio/TV,bad
38,37,male,2,own,little,rich,1225,domestic appliances,good
39,-24,male,2,own,little,moderate,458,radio/TV,good
40,30,male,3,own,quite rich,,2333,radio/TV,good
41,26,male,2,own,quite rich,moderate,1158,radio/TV,good
42,44,male,1,own,little,moderate,6204,repairs,good
43,24,male,2,rent,moderate,little,6187,car,good
44,58,female,1,free,little,little,6143,car,bad
45,35,female,3,own,little,,1393,car,good
46,39,male,2,own,quite rich,,2299,radio/TV,good
47,23,female,0,rent,quite rich,little,1352,car,good
48,39,male,1,own,little,,7228,car,good
49,28,female,2,own,moderate,,2073,radio/TV,good
50,29,male,1,own,,moderate,2333,furniture/equipment,good
51,30,male,3,own,little,moderate,5965,car,good
52,25,male,2,own,little,,1262,radio/TV,good
53,31,male,2,own,,,3378,car,good
54,57,male,2,free,little,moderate,2225,car,bad
55,26,male,1,own,,,783,car,good
56,52,male,3,own,,moderate,6468,radio/TV,bad
57,31,female,2,own,little,,9566,radio/TV,good
58,23,female,3,own,little,rich,1961,car,good
59,23,female,1,rent,little,little,6229,furniture/equipment,bad
60,27,male,2,own,little,moderate,1391,business,good
61,50,male,2,own,,moderate,1537,radio/TV,good
62,61,male,3,free,little,moderate,1953,business,bad
63,25,male,2,own,little,moderate,14421,business,bad
64,26,female,2,own,little,,3181,radio/TV,good
65,48,male,2,own,,,5190,repairs,good
66,29,female,2,own,little,,2171,radio/TV,good
67,22,male,2,own,rich,moderate,1007,car,good
68,37,male,2,free,little,,1819,education,bad
69,25,female,2,own,,,2394,radio/TV,good
70,30,female,2,own,little,,8133,car,good
71,46,male,1,rent,,,730,radio/TV,good
72,51,male,3,free,little,little,1164,vacation/others,good
73,41,female,1,own,little,moderate,5954,business,good
74,40,male,3,own,,little,1977,education,bad
75,66,male,3,free,little,little,1526,car,good
76,34,male,2,own,little,little,3965,radio/TV,bad
77,51,male,2,own,little,moderate,4771,radio/TV,good
78,39,male,1,own,,,9436,car,good
79,22,male,2,own,little,moderate,3832,furniture/equipment,good
80,44,female,2,own,,,5943,radio/TV,bad
81,47,male,2,own,quite rich,,1213,radio/TV,good
82,24,female,1,rent,moderate,,1568,business,good
83,58,female,1,own,little,little,1755,vacation/others,good
84,52,male,1,own,little,little,2315,radio/TV,good
85,29,female,3,own,little,,1412,business,good
86,27,female,2,own,little,moderate,1295,furniture/equipment,good
87,47,male,2,free,moderate,moderate,12612,education,bad
88,30,male,3,own,moderate,little,2249,car,good
89,-28,male,2,own,little,little,1108,repairs,bad
